,Message,Timestamp,Value,Geometry
112,sailing filled start,2019-03-12 12:41:59.833559,5000.0,POINT (4.25222222 52.11428333)
113,sailing filled stop,2019-03-12 12:41:59.833559,5000.0,POINT (4.25222222 52.11428333)
114,unloading start,2019-03-12 12:41:59.833559,5000.0,POINT (4.25222222 52.11428333)
115,unloading stop,2019-03-12 13:37:33.166892,0.0,POINT (4.25222222 52.11428333)
116,sailing empty start,2019-03-12 13:37:33.166892,0.0,POINT (4.25222222 52.11428333)
117,sailing empty stop,2019-03-12 14:08:58.816074,0.0,POINT (4.18055556 52.18664444)
118,sailing empty start,2019-03-12 14:08:58.816074,0.0,POINT (4.18055556 52.18664444)
119,sailing empty stop,2019-03-12 14:08:58.816074,0.0,POINT (4.18055556 52.18664444)
120,loading start,2019-03-12 14:08:58.816074,0.0,POINT (4.18055556 52.18664444)
121,loading stop,2019-03-12 15:04:32.149408,5000.0,POINT (4.18055556 52.18664444)
122,sailing filled start,2019-03-12 15:04:32.149408,5000.0,POINT (4.18055556 52.18664444)
123,sailing filled stop,2019-03-12 15:39:27.315166,5000.0,POINT (4.25222222 52.11428333)
124,sailing filled start,2019-03-12 15:39:27.315166,5000.0,POINT (4.25222222 52.11428333)
125,sailing filled stop,2019-03-12 15:39:27.315166,5000.0,POINT (4.25222222 52.11428333)
126,unloading start,2019-03-12 15:39:27.315166,5000.0,POINT (4.25222222 52.11428333)
127,unloading stop,2019-03-12 16:35:00.648499,0.0,POINT (4.25222222 52.11428333)
128,sailing empty start,2019-03-12 16:35:00.648499,0.0,POINT (4.25222222 52.11428333)
129,sailing empty stop,2019-03-12 17:06:26.297682,0.0,POINT (4.18055556 52.18664444)
130,sailing empty start,2019-03-12 17:06:26.297682,0.0,POINT (4.18055556 52.18664444)
131,sailing empty stop,2019-03-12 17:06:26.297682,0.0,POINT (4.18055556 52.18664444)
132,loading start,2019-03-12 17:06:26.297682,0.0,POINT (4.18055556 52.18664444)
133,loading stop,2019-03-12 18:01:59.631015,5000.0,POINT (4.18055556 52.18664444)
134,sailing filled start,2019-03-12 18:01:59.631015,5000.0,POINT (4.18055556 52.18664444)
135,sailing filled stop,2019-03-12 18:36:54.796773,5000.0,POINT (4.25222222 52.11428333)
136,sailing filled start,2019-03-12 18:36:54.796773,5000.0,POINT (4.25222222 52.11428333)
137,sailing filled stop,2019-03-12 18:36:54.796773,5000.0,POINT (4.25222222 52.11428333)
138,unloading start,2019-03-12 18:36:54.796773,5000.0,POINT (4.25222222 52.11428333)
139,unloading stop,2019-03-12 19:32:28.130107,0.0,POINT (4.25222222 52.11428333)
140,sailing empty start,2019-03-12 19:32:28.130107,0.0,POINT (4.25222222 52.11428333)
141,sailing empty stop,2019-03-12 20:03:53.779289,0.0,POINT (4.18055556 52.18664444)
142,sailing empty start,2019-03-12 20:03:53.779289,0.0,POINT (4.18055556 52.18664444)
143,sailing empty stop,2019-03-12 20:03:53.779289,0.0,POINT (4.18055556 52.18664444)
144,loading start,2019-03-12 20:03:53.779289,0.0,POINT (4.18055556 52.18664444)
145,loading stop,2019-03-12 20:59:27.112622,5000.0,POINT (4.18055556 52.18664444)
146,sailing filled start,2019-03-12 20:59:27.112622,5000.0,POINT (4.18055556 52.18664444)
147,sailing filled stop,2019-03-12 21:34:22.278381,5000.0,POINT (4.25222222 52.11428333)
148,sailing filled start,2019-03-12 21:34:22.278381,5000.0,POINT (4.25222222 52.11428333)
149,sailing filled stop,2019-03-12 21:34:22.278381,5000.0,POINT (4.25222222 52.11428333)
150,unloading start,2019-03-12 21:34:22.278381,5000.0,POINT (4.25222222 52.11428333)
151,unloading stop,2019-03-12 22:29:55.611714,0.0,POINT (4.25222222 52.11428333)
152,sailing empty start,2019-03-12 22:29:55.611714,0.0,POINT (4.25222222 52.11428333)
153,sailing empty stop,2019-03-12 23:01:21.260897,0.0,POINT (4.18055556 52.18664444)
154,sailing empty start,2019-03-12 23:01:21.260897,0.0,POINT (4.18055556 52.18664444)
155,sailing empty stop,2019-03-12 23:01:21.260897,0.0,POINT (4.18055556 52.18664444)
156,loading start,2019-03-12 23:01:21.260897,0.0,POINT (4.18055556 52.18664444)
157,loading stop,2019-03-12 23:56:54.594230,5000.0,POINT (4.18055556 52.18664444)
158,sailing filled start,2019-03-12 23:56:54.594230,5000.0,POINT (4.18055556 52.18664444)
159,sailing filled stop,2019-03-13 00:31:49.759988,5000.0,POINT (4.25222222 52.11428333)
160,sailing filled start,2019-03-13 00:31:49.759988,5000.0,POINT (4.25222222 52.11428333)
161,sailing filled stop,2019-03-13 00:31:49.759988,5000.0,POINT (4.25222222 52.11428333)
162,unloading start,2019-03-13 00:31:49.759988,5000.0,POINT (4.25222222 52.11428333)
163,unloading stop,2019-03-13 01:27:23.093322,0.0,POINT (4.25222222 52.11428333)
164,sailing empty start,2019-03-13 01:27:23.093322,0.0,POINT (4.25222222 52.11428333)
165,sailing empty stop,2019-03-13 01:58:48.742504,0.0,POINT (4.18055556 52.18664444)
166,sailing empty start,2019-03-13 01:58:48.742504,0.0,POINT (4.18055556 52.18664444)
167,sailing empty stop,2019-03-13 01:58:48.742504,0.0,POINT (4.18055556 52.18664444)
168,loading start,2019-03-13 01:58:48.742504,0.0,POINT (4.18055556 52.18664444)
169,loading stop,2019-03-13 02:54:22.075837,5000.0,POINT (4.18055556 52.18664444)
170,sailing filled start,2019-03-13 02:54:22.075837,5000.0,POINT (4.18055556 52.18664444)
171,sailing filled stop,2019-03-13 03:29:17.241596,5000.0,POINT (4.25222222 52.11428333)
172,sailing filled start,2019-03-13 03:29:17.241596,5000.0,POINT (4.25222222 52.11428333)
173,sailing filled stop,2019-03-13 03:29:17.241596,5000.0,POINT (4.25222222 52.11428333)
174,unloading start,2019-03-13 03:29:17.241596,5000.0,POINT (4.25222222 52.11428333)
175,unloading stop,2019-03-13 04:24:50.574929,0.0,POINT (4.25222222 52.11428333)
176,sailing empty start,2019-03-13 04:24:50.574929,0.0,POINT (4.25222222 52.11428333)
177,sailing empty stop,2019-03-13 04:56:16.224112,0.0,POINT (4.18055556 52.18664444)
178,sailing empty start,2019-03-13 04:56:16.224112,0.0,POINT (4.18055556 52.18664444)
179,sailing empty stop,2019-03-13 04:56:16.224112,0.0,POINT (4.18055556 52.18664444)
180,loading start,2019-03-13 04:56:16.224112,0.0,POINT (4.18055556 52.18664444)
181,loading stop,2019-03-13 05:51:49.557445,5000.0,POINT (4.18055556 52.18664444)
